// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sunny\Projects\benchmark-dotnet\sealed-keyword\bin\Release\net5.0\0faac3b3-d010-4cd2-9001-f08a59a575f3
// command took 1.54s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sunny\Projects\benchmark-dotnet\sealed-keyword\bin\Release\net5.0\0faac3b3-d010-4cd2-9001-f08a59a575f3
// command took 3.2s and exited with 0
// ***** Done, took 00:00:04 (4.85 sec)   *****
// Found 4 benchmarks:
//   BenchmarkLINQPerformance.SingleOrDefault: DefaultJob
//   BenchmarkLINQPerformance.FirstOrDefault: DefaultJob
//   BenchmarkLINQPerformance.First: DefaultJob
//   BenchmarkLINQPerformance.Single: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchmarkLINQPerformance.SingleOrDefault: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 0faac3b3-d010-4cd2-9001-f08a59a575f3.dll --benchmarkName BenchmarkLINQPerformance.SingleOrDefault --job Default --benchmarkId 0 in C:\Sunny\Projects\benchmark-dotnet\sealed-keyword\bin\Release\net5.0\0faac3b3-d010-4cd2-9001-f08a59a575f3\bin\Release\net5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 5.0.5 (5.0.521.16609), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 329900.00 ns, 329.9000 us/op
WorkloadJitting  1: 1 op, 721600.00 ns, 721.6000 us/op

OverheadJitting  2: 16 op, 625400.00 ns, 39.0875 us/op
WorkloadJitting  2: 16 op, 1098300.00 ns, 68.6437 us/op

WorkloadPilot    1: 16 op, 20500.00 ns, 1.2812 us/op
WorkloadPilot    2: 32 op, 31200.00 ns, 975.0000 ns/op
WorkloadPilot    3: 64 op, 58500.00 ns, 914.0625 ns/op
WorkloadPilot    4: 128 op, 102000.00 ns, 796.8750 ns/op
WorkloadPilot    5: 256 op, 204700.00 ns, 799.6094 ns/op
WorkloadPilot    6: 512 op, 421200.00 ns, 822.6562 ns/op
WorkloadPilot    7: 1024 op, 898100.00 ns, 877.0508 ns/op
WorkloadPilot    8: 2048 op, 1692100.00 ns, 826.2207 ns/op
WorkloadPilot    9: 4096 op, 3238100.00 ns, 790.5518 ns/op
WorkloadPilot   10: 8192 op, 5799100.00 ns, 707.8979 ns/op
WorkloadPilot   11: 16384 op, 14083300.00 ns, 859.5764 ns/op
WorkloadPilot   12: 32768 op, 20642000.00 ns, 629.9438 ns/op
WorkloadPilot   13: 65536 op, 38302700.00 ns, 584.4528 ns/op
WorkloadPilot   14: 131072 op, 83442600.00 ns, 636.6165 ns/op
WorkloadPilot   15: 262144 op, 137609200.00 ns, 524.9374 ns/op
WorkloadPilot   16: 524288 op, 253847100.00 ns, 484.1749 ns/op
WorkloadPilot   17: 1048576 op, 507015400.00 ns, 483.5276 ns/op

OverheadWarmup   1: 1048576 op, 5812800.00 ns, 5.5435 ns/op
OverheadWarmup   2: 1048576 op, 6281700.00 ns, 5.9907 ns/op
OverheadWarmup   3: 1048576 op, 5811800.00 ns, 5.5426 ns/op
OverheadWarmup   4: 1048576 op, 5906500.00 ns, 5.6329 ns/op
OverheadWarmup   5: 1048576 op, 6593000.00 ns, 6.2876 ns/op
OverheadWarmup   6: 1048576 op, 5811400.00 ns, 5.5422 ns/op

OverheadActual   1: 1048576 op, 6686700.00 ns, 6.3769 ns/op
OverheadActual   2: 1048576 op, 6795000.00 ns, 6.4802 ns/op
OverheadActual   3: 1048576 op, 5766600.00 ns, 5.4995 ns/op
OverheadActual   4: 1048576 op, 5941800.00 ns, 5.6665 ns/op
OverheadActual   5: 1048576 op, 5829000.00 ns, 5.5590 ns/op
OverheadActual   6: 1048576 op, 6598500.00 ns, 6.2928 ns/op
OverheadActual   7: 1048576 op, 5861000.00 ns, 5.5895 ns/op
OverheadActual   8: 1048576 op, 6090300.00 ns, 5.8082 ns/op
OverheadActual   9: 1048576 op, 6038000.00 ns, 5.7583 ns/op
OverheadActual  10: 1048576 op, 6403700.00 ns, 6.1070 ns/op
OverheadActual  11: 1048576 op, 6052900.00 ns, 5.7725 ns/op
OverheadActual  12: 1048576 op, 6148200.00 ns, 5.8634 ns/op
OverheadActual  13: 1048576 op, 6192100.00 ns, 5.9052 ns/op
OverheadActual  14: 1048576 op, 5878100.00 ns, 5.6058 ns/op
OverheadActual  15: 1048576 op, 6719700.00 ns, 6.4084 ns/op
OverheadActual  16: 1048576 op, 6508100.00 ns, 6.2066 ns/op
OverheadActual  17: 1048576 op, 6700100.00 ns, 6.3897 ns/op
OverheadActual  18: 1048576 op, 6541800.00 ns, 6.2387 ns/op
OverheadActual  19: 1048576 op, 6521800.00 ns, 6.2197 ns/op

WorkloadWarmup   1: 1048576 op, 548600400.00 ns, 523.1861 ns/op
WorkloadWarmup   2: 1048576 op, 512821500.00 ns, 489.0647 ns/op
WorkloadWarmup   3: 1048576 op, 512672900.00 ns, 488.9230 ns/op
WorkloadWarmup   4: 1048576 op, 507721800.00 ns, 484.2012 ns/op
WorkloadWarmup   5: 1048576 op, 510267700.00 ns, 486.6292 ns/op
WorkloadWarmup   6: 1048576 op, 509885800.00 ns, 486.2650 ns/op
WorkloadWarmup   7: 1048576 op, 504401900.00 ns, 481.0351 ns/op
